Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Avg_rating,Overall Sentiment
38,977,4.56,2.78,2.33,2.33,3.22,1.89,1,4.56,2.83375,Neutral
39,454,4.56,3.22,3.22,1,5,4.11,5,3.67,3.7225,Negative
40,295,2.78,3.67,3.22,1.89,1,3.67,1.44,4.56,2.77875,Neutral
41,35,5,3.22,2.33,2.78,3.22,1.44,1.89,1,2.61,Neutral
42,304,4.56,4.56,2.33,3.22,2.78,1,3.67,1.44,2.945,Neutral
43,56,3.22,4.56,3.22,4.11,4.56,3.22,1.44,2.33,3.3325,Negative
44,922,4.11,5,3.67,2.33,2.78,4.56,1.89,2.78,3.39,Negative
45,569,5,3.67,3.22,4.56,1.44,3.22,1.44,2.78,3.16625,Negative
46,186,3.22,2.33,2.33,2.33,3.22,4.56,5,5,3.49875,Negative
47,258,3.67,1.44,3.67,1.44,3.67,1.44,3.22,5,2.94375,Neutral
48,560,4.11,3.67,4.11,1.89,4.11,3.67,2.33,4.11,3.5,Negative
49,621,5,2.33,2.78,1,2.78,5,1,5,3.11125,Negative
50,568,5,3.67,2.33,3.22,5,4.11,5,4.11,4.055,Positive
51,393,3.22,4.56,4.11,3.67,2.78,4.11,1,2.33,3.2225,Negative
52,12,4.11,5,3.67,1.44,4.11,4.56,3.22,3.22,3.66625,Negative
53,798,3.67,1.44,4.11,3.67,5,2.78,1.89,2.78,3.1675,Negative
54,740,4.11,5,3.67,1.89,1.44,5,5,1,3.38875,Negative
55,184,5,4.56,4.11,3.22,2.33,4.11,4.11,4.56,4,Negative
56,410,3.67,1.44,2.78,1.44,3.22,3.22,1.89,5,2.8325,Neutral
57,480,5,3.22,3.67,4.11,2.78,1.89,1,2.78,3.05625,Negative
58,84,3.67,2.33,3.22,5,3.67,3.67,4.11,4.56,3.77875,Negative
59,89,4.56,4.56,2.33,2.78,1,1.44,1.89,4.56,2.89,Neutral
60,763,3.22,4.56,3.22,3.67,3.22,5,1.44,2.78,3.38875,Negative
61,86,3.67,4.11,3.22,4.11,1.89,5,1.44,3.67,3.38875,Negative
62,867,3.22,2.33,3.22,2.33,1.44,3.67,2.78,1.89,2.61,Neutral
63,248,3.22,3.22,2.33,3.22,3.22,3.22,1.44,1.89,2.72,Neutral
64,751,3.67,1.89,4.11,5,1.44,3.67,1.44,3.22,3.055,Negative
65,522,3.22,4.56,4.11,5,4.56,2.78,1.89,3.22,3.6675,Negative
66,696,2.78,2.78,2.33,4.56,1.89,1,4.11,3.22,2.83375,Neutral
67,274,4.11,1.44,2.33,3.67,5,4.11,2.78,4.11,3.44375,Negative
68,921,4.56,3.67,2.78,5,5,4.56,3.22,2.33,3.89,Negative
69,957,3.22,1.44,3.67,4.11,2.78,4.56,2.78,2.33,3.11125,Negative
70,88,4.56,2.33,2.33,4.56,4.56,4.56,3.67,5,3.94625,Negative
71,149,2.78,3.22,2.78,1,4.11,4.56,3.67,4.11,3.27875,Negative
72,737,3.67,4.56,2.33,2.78,2.78,1.44,1.44,1,2.5,Neutral
73,891,3.67,1.44,2.33,4.56,3.22,4.56,3.67,4.56,3.50125,Negative
74,1,4.56,3.22,4.11,3.67,3.22,2.78,1.89,5,3.55625,Negative
75,868,3.67,4.56,3.67,1.44,3.22,1.44,4.56,2.33,3.11125,Negative
76,895,2.78,2.78,3.67,3.67,1.44,1,4.11,4.56,3.00125,Negative
77,638,4.56,5,4.11,1.44,1,1,2.33,4.11,2.94375,Neutral
78,707,2.78,3.22,3.22,2.78,1,4.56,3.22,4.56,3.1675,Negative
79,432,4.56,4.56,3.22,4.11,1.44,1.89,1.44,2.33,2.94375,Neutral
80,988,3.67,2.33,3.22,3.67,3.22,4.56,3.67,1,3.1675,Negative
81,742,3.67,3.67,4.11,1.44,1,1,4.11,1,2.5,Neutral
82,730,3.22,2.78,2.33,2.78,3.22,3.22,3.67,1.44,2.8325,Neutral
83,321,2.78,3.67,3.22,1.44,1.89,2.78,1.89,2.78,2.55625,Neutral
84,904,4.11,2.78,4.11,4.56,3.67,4.56,4.11,3.22,3.89,Negative
85,171,3.22,5,2.33,3.22,1,3.22,1.44,1.89,2.665,Neutral
86,695,5,2.33,2.33,1,2.78,4.11,3.67,1,2.7775,Neutral
87,498,4.11,2.78,2.33,2.78,5,3.67,1,5,3.33375,Negative
88,446,3.67,4.11,2.78,5,5,1.44,2.78,4.56,3.6675,Negative
89,982,4.56,5,3.67,2.78,3.22,3.22,1,2.78,3.27875,Negative
90,981,3.67,3.22,3.67,2.78,2.33,3.22,4.11,1.89,3.11125,Negative
91,849,3.22,5,3.22,3.67,3.67,2.33,5,3.67,3.7225,Negative
92,297,3.67,5,3.22,4.11,5,5,1.44,4.11,3.94375,Negative
93,713,4.11,3.22,3.67,2.78,1.44,3.67,5,4.11,3.5,Negative
94,192,4.11,2.33,4.11,3.22,1.89,2.78,1,2.78,2.7775,Neutral
95,561,4.56,3.22,2.33,4.11,3.22,4.11,1.89,1.89,3.16625,Negative
96,364,3.22,3.22,3.67,4.56,3.22,2.33,3.67,3.22,3.38875,Negative
97,40,3.22,3.67,2.78,3.22,5,2.78,3.22,1.89,3.2225,Negative
98,521,2.78,4.56,2.33,1.44,1,4.11,1.89,3.67,2.7225,Neutral
99,201,4.11,1.44,4.11,4.56,4.11,4.11,4.56,2.33,3.66625,Negative
100,780,3.22,2.33,2.33,5,3.22,2.78,3.22,4.11,3.27625,Negative
101,853,3.67,4.56,2.33,4.11,4.56,2.33,5,1.44,3.5,Negative
102,202,2.78,3.22,3.22,5,1.89,2.33,1.44,4.11,2.99875,Neutral
103,421,3.22,1.89,4.11,5,3.22,4.11,3.67,4.56,3.7225,Negative
104,671,4.56,4.11,3.22,5,5,3.67,3.67,4.11,4.1675,Positive
105,334,2.78,4.56,2.33,1.89,4.11,5,2.33,1.44,3.055,Negative
106,843,3.22,4.11,2.78,2.33,2.78,2.78,5,3.22,3.2775,Negative
107,57,5,3.67,3.22,5,2.33,2.33,1.44,2.33,3.165,Negative
108,353,3.22,3.67,2.78,1.89,3.22,3.22,3.67,2.78,3.05625,Negative
109,681,3.67,1.44,3.67,2.78,1.44,1,1.89,3.67,2.445,Neutral
110,394,3.22,1.89,3.22,5,3.67,2.33,1.89,1.89,2.88875,Neutral
111,188,3.67,3.22,4.11,4.56,4.56,4.11,4.56,5,4.22375,Positive
112,641,2.78,5,3.22,3.67,2.33,1.44,2.78,2.33,2.94375,Neutral
113,544,5,3.67,4.11,2.33,3.22,2.78,3.67,4.11,3.61125,Negative
114,163,4.56,1.89,2.33,3.67,1.89,4.11,3.22,4.11,3.2225,Negative
115,283,4.56,1.44,3.22,1,1.44,5,2.78,2.78,2.7775,Neutral
116,820,3.22,2.78,2.33,4.56,1.44,2.78,5,3.67,3.2225,Negative
117,254,3.22,3.22,3.22,4.11,4.56,2.33,2.33,4.11,3.3875,Negative
118,221,4.56,3.22,4.11,1,4.11,1.44,2.78,3.22,3.055,Negative
119,736,4.11,1.44,4.11,4.11,1.44,3.22,2.78,2.33,2.9425,Neutral
120,280,4.56,5,2.33,3.67,3.67,1.89,2.78,2.33,3.27875,Negative
121,976,2.78,1.44,2.78,2.78,3.67,4.56,2.33,1.89,2.77875,Neutral
122,481,4.56,5,4.11,4.56,1,1.89,1,4.56,3.335,Negative
123,80,3.67,3.22,2.33,1,2.78,3.22,1,4.11,2.66625,Neutral
124,473,5,5,3.67,2.78,1.44,3.22,5,2.78,3.61125,Negative
125,762,5,3.67,2.78,3.67,4.11,4.56,1.89,2.33,3.50125,Negative
126,385,2.78,1.44,3.22,3.67,1.89,1.44,5,1,2.555,Neutral
127,195,4.56,3.67,2.78,2.78,5,5,2.78,1,3.44625,Negative
128,144,4.11,3.22,2.78,3.22,1.89,4.11,1.44,3.22,2.99875,Neutral
129,767,5,5,4.11,1.89,4.56,3.22,2.33,4.11,3.7775,Negative
130,300,3.22,4.11,2.33,2.78,2.78,4.56,2.78,2.33,3.11125,Negative
131,580,2.78,1.44,2.78,4.11,3.22,2.78,2.33,4.56,3,Neutral
132,216,2.78,4.56,4.11,1.44,2.33,4.11,4.56,5,3.61125,Negative
133,583,4.56,1.89,2.33,3.22,2.78,1.89,4.11,3.67,3.05625,Negative
134,881,3.67,4.56,2.78,4.56,2.33,2.78,2.33,4.11,3.39,Negative
135,488,4.11,4.11,3.22,4.56,3.67,2.33,3.22,1,3.2775,Negative
136,892,2.78,4.11,4.11,4.56,3.22,4.56,5,3.22,3.945,Negative
137,152,3.67,1.44,2.78,1,2.78,5,2.78,3.22,2.83375,Neutral
138,925,3.67,5,3.22,3.67,4.56,5,1,1.89,3.50125,Negative
139,729,4.56,4.56,4.11,3.67,2.78,2.33,2.78,2.78,3.44625,Negative
140,647,2.78,2.78,4.11,4.11,4.56,3.22,4.56,4.11,3.77875,Negative
141,686,4.11,3.22,2.78,2.78,1.44,3.22,2.78,4.11,3.055,Negative
142,93,4.56,5,3.22,2.33,4.56,3.22,3.67,4.11,3.83375,Negative
143,485,4.11,2.33,3.67,1,2.33,3.67,1,2.33,2.555,Neutral
144,59,2.78,4.11,2.78,3.22,5,1.89,2.33,5,3.38875,Negative
145,907,5,2.33,3.67,3.22,1,1.44,2.78,1,2.555,Neutral
146,158,5,3.22,2.78,3.22,1.44,5,1.89,4.11,3.3325,Negative
147,955,5,2.33,2.33,1,5,1,5,5,3.3325,Negative
148,758,4.11,1.89,3.67,3.67,4.56,3.22,3.67,2.78,3.44625,Negative
149,605,3.22,2.33,2.33,2.33,3.67,2.78,2.78,1.44,2.61,Neutral
150,475,5,3.22,2.33,4.56,1.89,1,3.22,3.67,3.11125,Negative
151,154,4.56,3.67,2.33,4.11,1.44,3.22,1.89,4.56,3.2225,Negative
152,79,3.22,2.33,3.22,3.22,3.22,2.33,4.56,5,3.3875,Negative
153,36,5,3.22,2.78,1.44,1,4.56,4.56,3.22,3.2225,Negative
154,562,3.22,1.89,3.22,3.67,4.11,3.67,2.33,1,2.88875,Neutral
155,231,5,3.67,4.11,1,1.89,1.89,1.89,1.89,2.6675,Neutral
156,869,4.11,3.67,3.22,1.44,4.56,2.33,1,3.67,3,Negative
157,608,3.67,2.33,3.22,2.78,2.33,3.67,4.11,3.67,3.2225,Negative
158,846,5,3.67,3.67,2.33,3.67,5,3.67,1,3.50125,Negative
159,542,5,2.33,3.67,3.67,1.44,1.44,2.78,4.56,3.11125,Negative
160,941,4.56,1.89,3.67,1.44,4.56,3.67,1.89,1,2.835,Neutral
161,919,5,1.44,4.11,2.78,3.22,1.89,4.11,2.78,3.16625,Negative
162,352,3.22,1.44,3.22,1.89,2.78,1.89,4.11,3.22,2.72125,Neutral
163,839,4.56,1.44,2.78,5,2.33,2.33,4.56,1,3,Neutral
164,266,4.11,4.11,2.78,3.22,3.22,4.11,1.44,1.44,3.05375,Negative
165,298,4.11,2.33,4.11,4.56,3.67,1,3.67,1.89,3.1675,Negative
166,929,5,1.44,3.22,1,1,4.56,4.56,3.67,3.05625,Negative
167,574,3.22,2.33,4.11,2.78,4.56,2.78,3.67,5,3.55625,Negative
168,250,2.78,3.67,3.67,1.89,1,3.22,1.89,1,2.39,Neutral
169,616,4.56,4.11,3.22,4.56,3.22,1.89,2.78,4.11,3.55625,Negative
170,164,4.11,2.78,3.67,5,4.11,4.56,5,1,3.77875,Negative
171,827,3.22,1.89,2.33,4.56,3.67,4.11,3.67,3.22,3.33375,Negative
172,228,3.67,3.22,3.22,1,3.22,3.22,3.22,4.56,3.16625,Negative
173,787,5,5,2.78,5,1,4.56,1.89,4.11,3.6675,Negative
174,317,4.11,4.11,2.33,1,5,5,4.56,1,3.38875,Negative
175,110,4.56,3.22,2.33,1,2.33,3.67,4.56,2.78,3.05625,Negative
176,165,3.22,1.44,3.22,1.44,1.44,5,1.44,1.44,2.33,Neutral
177,701,2.78,4.56,3.67,1,4.56,4.56,1,4.56,3.33625,Negative
178,362,3.67,4.56,3.22,3.67,2.33,4.11,1,1.44,3,Negative
179,890,4.11,3.67,2.78,1.89,4.56,1,2.33,2.78,2.89,Neutral
180,728,5,4.56,2.33,4.11,2.78,1.44,1.89,5,3.38875,Negative
181,466,4.56,4.11,2.78,2.78,3.22,1.44,5,2.33,3.2775,Negative
182,709,4.56,1.89,3.22,2.33,2.33,4.11,5,1,3.055,Negative
183,482,5,1.89,2.33,1.89,5,1,4.11,2.78,3,Negative
184,406,4.56,5,3.22,1,3.22,1,4.56,1.44,3,Negative
185,66,4.11,2.78,4.11,3.67,3.22,1,4.56,4.56,3.50125,Negative
186,862,3.22,2.78,3.22,2.78,3.67,1.44,5,4.11,3.2775,Negative
187,61,4.56,4.11,3.22,2.78,1.89,5,3.22,3.22,3.5,Negative
188,111,3.67,4.56,3.67,1,5,5,1.89,5,3.72375,Negative
189,147,3.22,4.11,2.33,3.22,4.56,3.22,4.11,3.67,3.555,Negative
190,211,3.67,2.33,2.33,1.89,3.67,4.11,3.67,5,3.33375,Negative
191,996,3.22,2.78,3.22,5,4.11,3.67,4.11,2.33,3.555,Negative
192,459,4.11,2.78,4.11,3.22,3.22,1,4.11,2.33,3.11,Negative
193,81,2.78,2.78,3.22,2.78,3.67,1.89,4.56,2.78,3.0575,Negative
194,288,2.78,4.56,3.22,4.56,2.33,2.33,1.44,3.22,3.055,Negative
195,6,3.67,5,4.11,1.89,1.89,2.33,1,1.44,2.66625,Neutral
196,547,3.22,3.22,4.11,2.78,1,1.44,1.44,4.11,2.665,Neutral
197,30,3.22,1.44,3.67,2.78,1,5,4.56,5,3.33375,Negative
198,445,4.56,2.33,2.33,1.44,2.33,4.11,1,3.22,2.665,Neutral
199,591,3.22,4.56,4.11,2.78,5,3.22,1.44,5,3.66625,Negative
200,770,5,5,2.78,3.67,5,3.67,3.67,5,4.22375,Positive
201,484,4.56,3.22,4.11,5,1.89,1.44,4.11,2.33,3.3325,Negative
202,180,4.11,2.33,2.33,1,3.22,4.56,3.22,1,2.72125,Neutral
203,946,2.78,2.78,2.78,3.22,1,1.89,5,2.78,2.77875,Neutral
204,901,4.56,4.11,3.22,1,1.44,4.56,4.11,1.44,3.055,Negative
205,517,5,2.78,3.67,3.67,2.78,5,3.22,2.78,3.6125,Negative
206,545,4.56,2.33,4.11,1,4.11,3.22,1.44,2.33,2.8875,Neutral
207,918,4.11,1.89,4.11,4.56,4.56,1,3.22,1,3.05625,Negative
208,652,4.11,1.89,2.33,4.11,1.89,1.44,1.44,1.89,2.3875,Neutral
209,471,5,5,2.33,4.11,1.44,1.44,2.33,3.67,3.165,Negative
210,323,3.22,4.11,3.67,2.78,2.33,1,4.56,1.89,2.945,Neutral
211,276,4.11,2.78,3.67,4.56,1,5,1,1.44,2.945,Neutral
212,672,3.67,4.11,2.78,3.22,2.78,5,2.78,5,3.6675,Negative
213,337,5,3.67,3.22,4.11,4.56,2.78,1,1,3.1675,Negative
214,468,3.67,3.67,4.11,2.33,1.44,1,2.78,5,3,Negative
215,380,4.11,4.11,2.33,4.11,1.44,2.33,4.56,1.44,3.05375,Negative
216,755,4.56,4.11,3.67,1.44,4.56,3.22,1.89,3.67,3.39,Negative
217,267,4.11,4.56,2.33,2.33,4.11,2.33,4.11,1,3.11,Negative
218,598,4.56,1.89,2.33,4.56,1.89,2.33,2.78,1,2.6675,Neutral
219,128,3.22,1.44,3.22,1,4.56,1.89,4.56,1.44,2.66625,Neutral
220,444,4.11,1.44,3.22,5,3.67,1.44,2.33,4.11,3.165,Negative
221,572,3.22,2.78,2.33,2.33,4.11,3.22,4.11,4.56,3.3325,Negative
222,319,4.11,1.89,3.22,3.22,3.67,5,4.11,2.33,3.44375,Negative
223,390,4.11,3.22,3.67,2.78,1,2.33,1.89,4.56,2.945,Neutral
224,176,5,1.44,3.22,3.67,2.33,5,1,1.89,2.94375,Neutral
225,883,3.67,2.33,2.33,1.44,4.11,3.22,3.67,2.33,2.8875,Neutral
226,831,2.78,1.44,4.11,1.89,2.78,5,3.67,3.67,3.1675,Negative
227,220,5,2.78,4.11,3.67,4.56,3.67,1.44,3.67,3.6125,Negative
228,17,3.67,3.22,2.78,1.89,4.56,2.78,2.78,1.44,2.89,Neutral
229,938,5,5,3.22,2.78,1.44,4.56,4.56,4.56,3.89,Negative
230,651,4.11,3.67,3.22,1.89,4.56,5,3.22,1,3.33375,Negative
231,953,2.78,5,4.11,5,3.22,2.33,3.22,2.33,3.49875,Negative
232,902,2.78,4.11,3.22,5,2.33,2.78,2.78,4.56,3.445,Negative
233,167,3.67,3.67,2.78,4.11,3.22,4.56,4.56,4.11,3.835,Negative
234,669,4.56,1.89,2.33,2.78,1.44,1.44,1,3.22,2.3325,Neutral
235,859,4.11,1.89,2.78,4.56,5,1.89,1,3.22,3.05625,Negative
236,120,4.11,2.33,3.67,2.78,2.33,2.33,5,3.22,3.22125,Negative
237,293,5,2.33,3.67,1,3.22,3.67,3.67,2.33,3.11125,Negative
238,789,5,1.44,4.11,3.67,4.56,4.11,1,2.33,3.2775,Negative
239,182,2.78,1.44,3.67,1.44,1.89,3.22,1,4.56,2.5,Neutral
240,369,5,2.78,2.33,2.33,1.89,3.67,2.33,5,3.16625,Negative
241,207,3.22,4.11,3.22,3.67,4.56,3.67,1.44,2.78,3.33375,Negative
242,842,5,3.67,2.78,1.89,1.89,3.22,2.33,3.22,3,Negative
243,38,2.78,4.11,3.67,3.22,5,4.11,4.56,2.78,3.77875,Negative
244,495,2.78,2.33,3.67,4.56,3.22,5,2.78,4.56,3.6125,Negative
245,942,5,3.22,4.11,1.89,3.67,4.11,2.33,2.78,3.38875,Negative
246,752,5,3.67,2.33,2.33,2.33,4.56,5,3.67,3.61125,Negative
247,940,3.67,1.89,3.22,4.56,5,4.11,1.89,2.78,3.39,Negative
248,648,2.78,3.67,3.67,4.56,3.22,1.89,5,1.89,3.335,Negative
249,125,3.22,1.44,2.33,2.78,4.56,3.67,3.67,3.67,3.1675,Negative
250,516,5,1.44,4.11,4.56,1.44,1.89,1.89,1,2.66625,Neutral
251,963,4.56,3.22,2.33,2.78,1.89,1.89,3.22,3.22,2.88875,Neutral
252,215,2.78,3.22,3.22,1.44,1,4.56,2.78,4.11,2.88875,Neutral
253,823,3.67,2.78,4.11,1.89,2.33,1.89,1,5,2.83375,Neutral
254,840,2.78,3.67,2.78,3.22,4.56,4.56,5,3.22,3.72375,Negative
255,429,4.11,1.89,2.78,1,4.11,1,4.11,4.56,2.945,Neutral
256,109,3.22,1.89,2.78,3.22,1,3.22,3.22,5,2.94375,Neutral
257,795,3.22,4.56,4.11,2.33,1.44,3.22,5,3.22,3.3875,Negative
258,760,4.56,2.33,2.33,1.89,4.11,2.78,5,1,3,Negative
259,536,5,5,2.33,3.67,4.11,3.67,3.22,1.44,3.555,Negative
260,888,3.22,3.22,2.78,1.44,1.89,3.22,3.22,1.89,2.61,Neutral
261,719,5,5,4.11,3.67,3.22,5,3.22,2.33,3.94375,Negative
262,654,3.22,2.33,2.33,4.56,2.78,4.11,4.11,1.44,3.11,Negative
263,947,3.67,1.89,4.11,1,2.78,4.56,3.67,1.44,2.89,Neutral
264,403,2.78,3.67,3.22,3.22,2.78,3.22,2.33,3.22,3.055,Negative
265,124,4.56,4.56,3.67,4.56,1,4.56,2.33,1.89,3.39125,Negative
266,548,4.56,4.11,3.22,3.67,1,1.44,3.67,3.22,3.11125,Negative
267,880,3.67,1.89,3.22,1.89,2.78,1.89,1.89,5,2.77875,Neutral
268,939,5,5,3.67,2.33,1,1.44,1.89,4.56,3.11125,Negative
269,166,3.22,5,2.33,2.33,2.33,4.11,2.33,3.22,3.10875,Negative
270,885,2.78,3.22,3.67,3.67,1.44,1.44,2.78,3.67,2.83375,Neutral
271,112,3.67,4.56,3.22,4.56,1,3.67,1,1.44,2.89,Neutral
272,811,4.11,4.11,4.11,3.22,1,2.33,4.56,1,3.055,Negative
273,213,5,4.11,2.33,5,1,2.78,3.22,1.44,3.11,Negative
274,375,5,2.33,2.33,1,1.89,2.33,3.67,4.56,2.88875,Neutral
275,897,3.22,3.67,2.33,1,4.56,4.11,4.11,3.67,3.33375,Negative
276,460,3.67,4.11,2.78,3.22,3.67,3.67,3.22,3.67,3.50125,Negative
277,416,3.22,1.44,2.78,4.11,4.56,3.22,1.89,3.67,3.11125,Negative
278,571,4.11,4.56,3.67,1.89,1,4.11,4.56,3.67,3.44625,Negative
279,744,4.11,2.78,3.67,1.89,5,2.33,3.22,3.67,3.33375,Negative
280,378,4.56,4.11,3.67,1.44,2.33,3.67,1.44,3.22,3.055,Negative
281,121,2.78,4.56,2.78,1.44,2.33,2.78,3.22,3.22,2.88875,Neutral
282,462,5,2.33,4.11,2.78,2.33,3.22,2.33,3.67,3.22125,Negative
283,777,4.11,3.22,2.33,3.22,2.33,3.67,5,1,3.11,Negative
284,845,2.78,5,3.22,4.11,2.33,2.33,2.33,2.78,3.11,Negative
285,533,3.22,5,2.78,3.67,1.44,2.78,5,5,3.61125,Negative
286,450,2.78,1.44,3.22,1.44,2.33,2.78,1,2.33,2.165,Neutral
287,717,3.22,1.44,2.33,3.22,3.22,1.44,3.22,4.56,2.83125,Neutral
288,469,5,4.11,3.22,1,1.89,2.78,4.11,5,3.38875,Negative
289,670,3.67,3.67,4.11,1,3.22,1,1.44,1,2.38875,Neutral
290,137,4.11,1.44,2.78,1.44,2.33,4.56,3.67,4.11,3.055,Negative
291,801,5,3.67,2.33,1.89,3.22,1,5,2.33,3.055,Negative
292,315,2.78,5,2.78,5,4.11,2.33,4.11,2.33,3.555,Negative
293,153,3.67,3.67,2.78,1.89,4.11,4.56,4.11,4.56,3.66875,Negative
294,190,4.11,3.22,3.67,2.78,3.22,2.33,1.89,4.11,3.16625,Negative
295,22,3.67,4.56,2.33,1,1.44,4.11,5,2.33,3.055,Negative
296,949,4.56,4.11,3.67,1,3.67,3.22,4.56,2.33,3.39,Negative
297,523,5,1.44,3.22,4.56,3.67,2.78,5,4.56,3.77875,Negative
298,527,2.78,3.22,2.78,1.44,4.11,3.22,4.56,4.11,3.2775,Negative
299,461,3.67,5,3.67,3.22,3.22,4.11,2.33,4.56,3.7225,Negative
300,244,2.78,4.11,2.33,4.56,1.89,5,1,1.89,2.945,Neutral
301,363,4.56,1.89,4.11,5,1.44,3.67,2.78,1,3.05625,Negative
302,610,4.11,5,3.22,4.11,1.44,1,2.78,1,2.8325,Neutral
303,381,4.56,1.44,4.11,4.11,1,4.56,1,1.44,2.7775,Neutral
304,954,4.11,4.11,3.22,1.89,4.56,2.78,3.67,1.44,3.2225,Negative
305,604,5,4.56,4.11,4.56,2.33,4.11,3.67,4.56,4.1125,Positive
306,414,5,3.22,2.33,4.11,1.44,4.56,4.56,1.89,3.38875,Negative
307,151,4.11,3.67,2.78,5,4.11,1.89,4.11,3.22,3.61125,Negative
308,721,3.22,4.56,2.33,1,2.33,5,5,4.56,3.5,Negative
309,664,5,4.11,3.67,2.33,4.11,1.44,1,5,3.3325,Negative
310,956,3.67,1.44,3.22,2.78,1.44,1.89,4.11,3.67,2.7775,Neutral
311,747,2.78,1.89,2.78,3.22,2.78,5,1.89,3.22,2.945,Neutral
312,438,4.56,3.22,2.78,4.56,1.44,1.89,4.56,1.89,3.1125,Negative
313,975,2.78,5,2.33,4.11,3.67,3.22,4.11,1.89,3.38875,Negative
314,277,2.78,3.22,4.11,3.67,1.44,3.67,1,5,3.11125,Negative
315,312,3.67,1.44,3.67,3.22,3.22,1.89,3.67,1.44,2.7775,Neutral
316,565,5,4.56,3.67,5,2.33,4.11,2.78,2.33,3.7225,Negative
317,739,4.11,3.67,2.78,5,1,1,4.11,1,2.83375,Neutral
318,584,4.11,4.11,2.78,4.11,3.22,3.22,4.56,2.33,3.555,Negative
319,894,3.22,1.89,2.78,2.33,3.67,1,2.78,2.78,2.55625,Neutral
320,270,4.56,5,2.78,4.56,3.22,2.33,3.67,3.67,3.72375,Negative
321,966,3.67,2.33,2.78,1.89,1,4.11,5,1.44,2.7775,Neutral
322,489,3.67,1.44,2.78,4.11,1,1,4.11,4.11,2.7775,Neutral
323,665,3.22,1.89,2.33,1.44,4.11,2.78,4.11,2.78,2.8325,Neutral
324,71,4.56,5,4.11,2.33,4.56,1.89,4.11,1.44,3.5,Negative
325,603,3.67,1.44,3.67,1,3.67,3.67,1,3.67,2.72375,Neutral
