Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance
33,781,4.11,1.89,2.33,2.78,1.0,4.11,5.0,2.78
34,898,5.0,5.0,2.33,1.89,2.78,2.33,1.44,1.0
35,474,4.11,1.89,3.67,3.22,2.33,1.89,3.67,3.67
36,704,4.56,4.56,4.11,3.22,4.11,2.33,4.11,2.78
37,977,4.56,2.78,2.33,2.33,3.22,1.89,1.0,4.56
38,454,4.56,3.22,3.22,1.0,5.0,4.11,5.0,3.67
39,295,2.78,3.67,3.22,1.89,1.0,3.67,1.44,4.56
40,35,5.0,3.22,2.33,2.78,3.22,1.44,1.89,1.0
41,304,4.56,4.56,2.33,3.22,2.78,1.0,3.67,1.44
42,56,3.22,4.56,3.22,4.11,4.56,3.22,1.44,2.33
43,922,4.11,5.0,3.67,2.33,2.78,4.56,1.89,2.78
44,569,5.0,3.67,3.22,4.56,1.44,3.22,1.44,2.78
45,186,3.22,2.33,2.33,2.33,3.22,4.56,5.0,5.0
46,258,3.67,1.44,3.67,1.44,3.67,1.44,3.22,5.0
47,560,4.11,3.67,4.11,1.89,4.11,3.67,2.33,4.11
48,621,5.0,2.33,2.78,1.0,2.78,5.0,1.0,5.0
49,568,5.0,3.67,2.33,3.22,5.0,4.11,5.0,4.11
50,393,3.22,4.56,4.11,3.67,2.78,4.11,1.0,2.33
51,12,4.11,5.0,3.67,1.44,4.11,4.56,3.22,3.22
52,798,3.67,1.44,4.11,3.67,5.0,2.78,1.89,2.78
53,740,4.11,5.0,3.67,1.89,1.44,5.0,5.0,1.0
54,184,5.0,4.56,4.11,3.22,2.33,4.11,4.11,4.56
55,410,3.67,1.44,2.78,1.44,3.22,3.22,1.89,5.0
56,480,5.0,3.22,3.67,4.11,2.78,1.89,1.0,2.78
57,84,3.67,2.33,3.22,5.0,3.67,3.67,4.11,4.56
58,89,4.56,4.56,2.33,2.78,1.0,1.44,1.89,4.56
59,763,3.22,4.56,3.22,3.67,3.22,5.0,1.44,2.78
60,86,3.67,4.11,3.22,4.11,1.89,5.0,1.44,3.67
61,867,3.22,2.33,3.22,2.33,1.44,3.67,2.78,1.89
62,248,3.22,3.22,2.33,3.22,3.22,3.22,1.44,1.89
63,751,3.67,1.89,4.11,5.0,1.44,3.67,1.44,3.22
64,522,3.22,4.56,4.11,5.0,4.56,2.78,1.89,3.22
65,696,2.78,2.78,2.33,4.56,1.89,1.0,4.11,3.22
66,274,4.11,1.44,2.33,3.67,5.0,4.11,2.78,4.11
67,921,4.56,3.67,2.78,5.0,5.0,4.56,3.22,2.33
68,957,3.22,1.44,3.67,4.11,2.78,4.56,2.78,2.33
69,88,4.56,2.33,2.33,4.56,4.56,4.56,3.67,5.0
70,149,2.78,3.22,2.78,1.0,4.11,4.56,3.67,4.11
71,737,3.67,4.56,2.33,2.78,2.78,1.44,1.44,1.0
72,891,3.67,1.44,2.33,4.56,3.22,4.56,3.67,4.56
73,1,4.56,3.22,4.11,3.67,3.22,2.78,1.89,5.0
74,868,3.67,4.56,3.67,1.44,3.22,1.44,4.56,2.33
75,895,2.78,2.78,3.67,3.67,1.44,1.0,4.11,4.56
76,638,4.56,5.0,4.11,1.44,1.0,1.0,2.33,4.11
77,707,2.78,3.22,3.22,2.78,1.0,4.56,3.22,4.56
78,432,4.56,4.56,3.22,4.11,1.44,1.89,1.44,2.33
79,988,3.67,2.33,3.22,3.67,3.22,4.56,3.67,1.0
80,742,3.67,3.67,4.11,1.44,1.0,1.0,4.11,1.0
81,730,3.22,2.78,2.33,2.78,3.22,3.22,3.67,1.44
82,321,2.78,3.67,3.22,1.44,1.89,2.78,1.89,2.78
83,904,4.11,2.78,4.11,4.56,3.67,4.56,4.11,3.22
84,171,3.22,5.0,2.33,3.22,1.0,3.22,1.44,1.89
85,695,5.0,2.33,2.33,1.0,2.78,4.11,3.67,1.0
86,498,4.11,2.78,2.33,2.78,5.0,3.67,1.0,5.0
87,446,3.67,4.11,2.78,5.0,5.0,1.44,2.78,4.56
88,982,4.56,5.0,3.67,2.78,3.22,3.22,1.0,2.78
89,981,3.67,3.22,3.67,2.78,2.33,3.22,4.11,1.89
90,849,3.22,5.0,3.22,3.67,3.67,2.33,5.0,3.67
91,297,3.67,5.0,3.22,4.11,5.0,5.0,1.44,4.11
92,713,4.11,3.22,3.67,2.78,1.44,3.67,5.0,4.11
93,192,4.11,2.33,4.11,3.22,1.89,2.78,1.0,2.78
94,561,4.56,3.22,2.33,4.11,3.22,4.11,1.89,1.89
95,364,3.22,3.22,3.67,4.56,3.22,2.33,3.67,3.22
96,40,3.22,3.67,2.78,3.22,5.0,2.78,3.22,1.89
97,521,2.78,4.56,2.33,1.44,1.0,4.11,1.89,3.67
98,201,4.11,1.44,4.11,4.56,4.11,4.11,4.56,2.33
99,780,3.22,2.33,2.33,5.0,3.22,2.78,3.22,4.11
100,853,3.67,4.56,2.33,4.11,4.56,2.33,5.0,1.44
101,202,2.78,3.22,3.22,5.0,1.89,2.33,1.44,4.11
102,421,3.22,1.89,4.11,5.0,3.22,4.11,3.67,4.56
103,671,4.56,4.11,3.22,5.0,5.0,3.67,3.67,4.11
104,334,2.78,4.56,2.33,1.89,4.11,5.0,2.33,1.44
105,843,3.22,4.11,2.78,2.33,2.78,2.78,5.0,3.22
106,57,5.0,3.67,3.22,5.0,2.33,2.33,1.44,2.33
107,353,3.22,3.67,2.78,1.89,3.22,3.22,3.67,2.78
108,681,3.67,1.44,3.67,2.78,1.44,1.0,1.89,3.67
109,394,3.22,1.89,3.22,5.0,3.67,2.33,1.89,1.89
110,188,3.67,3.22,4.11,4.56,4.56,4.11,4.56,5.0
111,641,2.78,5.0,3.22,3.67,2.33,1.44,2.78,2.33
112,544,5.0,3.67,4.11,2.33,3.22,2.78,3.67,4.11
113,163,4.56,1.89,2.33,3.67,1.89,4.11,3.22,4.11
114,283,4.56,1.44,3.22,1.0,1.44,5.0,2.78,2.78
115,820,3.22,2.78,2.33,4.56,1.44,2.78,5.0,3.67
116,254,3.22,3.22,3.22,4.11,4.56,2.33,2.33,4.11
117,221,4.56,3.22,4.11,1.0,4.11,1.44,2.78,3.22
118,736,4.11,1.44,4.11,4.11,1.44,3.22,2.78,2.33
119,280,4.56,5.0,2.33,3.67,3.67,1.89,2.78,2.33
120,976,2.78,1.44,2.78,2.78,3.67,4.56,2.33,1.89
121,481,4.56,5.0,4.11,4.56,1.0,1.89,1.0,4.56
122,80,3.67,3.22,2.33,1.0,2.78,3.22,1.0,4.11
123,473,5.0,5.0,3.67,2.78,1.44,3.22,5.0,2.78
124,762,5.0,3.67,2.78,3.67,4.11,4.56,1.89,2.33
125,385,2.78,1.44,3.22,3.67,1.89,1.44,5.0,1.0
126,195,4.56,3.67,2.78,2.78,5.0,5.0,2.78,1.0
127,144,4.11,3.22,2.78,3.22,1.89,4.11,1.44,3.22
128,767,5.0,5.0,4.11,1.89,4.56,3.22,2.33,4.11
129,300,3.22,4.11,2.33,2.78,2.78,4.56,2.78,2.33
130,580,2.78,1.44,2.78,4.11,3.22,2.78,2.33,4.56
131,216,2.78,4.56,4.11,1.44,2.33,4.11,4.56,5.0
132,583,4.56,1.89,2.33,3.22,2.78,1.89,4.11,3.67
133,881,3.67,4.56,2.78,4.56,2.33,2.78,2.33,4.11
134,488,4.11,4.11,3.22,4.56,3.67,2.33,3.22,1.0
135,892,2.78,4.11,4.11,4.56,3.22,4.56,5.0,3.22
136,152,3.67,1.44,2.78,1.0,2.78,5.0,2.78,3.22
137,925,3.67,5.0,3.22,3.67,4.56,5.0,1.0,1.89
138,729,4.56,4.56,4.11,3.67,2.78,2.33,2.78,2.78
139,647,2.78,2.78,4.11,4.11,4.56,3.22,4.56,4.11
140,686,4.11,3.22,2.78,2.78,1.44,3.22,2.78,4.11
141,93,4.56,5.0,3.22,2.33,4.56,3.22,3.67,4.11
142,485,4.11,2.33,3.67,1.0,2.33,3.67,1.0,2.33
143,59,2.78,4.11,2.78,3.22,5.0,1.89,2.33,5.0
144,907,5.0,2.33,3.67,3.22,1.0,1.44,2.78,1.0
145,158,5.0,3.22,2.78,3.22,1.44,5.0,1.89,4.11
146,955,5.0,2.33,2.33,1.0,5.0,1.0,5.0,5.0
147,758,4.11,1.89,3.67,3.67,4.56,3.22,3.67,2.78
148,605,3.22,2.33,2.33,2.33,3.67,2.78,2.78,1.44
149,475,5.0,3.22,2.33,4.56,1.89,1.0,3.22,3.67
150,154,4.56,3.67,2.33,4.11,1.44,3.22,1.89,4.56
151,79,3.22,2.33,3.22,3.22,3.22,2.33,4.56,5.0
152,36,5.0,3.22,2.78,1.44,1.0,4.56,4.56,3.22
153,562,3.22,1.89,3.22,3.67,4.11,3.67,2.33,1.0
154,231,5.0,3.67,4.11,1.0,1.89,1.89,1.89,1.89
155,869,4.11,3.67,3.22,1.44,4.56,2.33,1.0,3.67
156,608,3.67,2.33,3.22,2.78,2.33,3.67,4.11,3.67
157,846,5.0,3.67,3.67,2.33,3.67,5.0,3.67,1.0
158,542,5.0,2.33,3.67,3.67,1.44,1.44,2.78,4.56
159,941,4.56,1.89,3.67,1.44,4.56,3.67,1.89,1.0
160,919,5.0,1.44,4.11,2.78,3.22,1.89,4.11,2.78
161,352,3.22,1.44,3.22,1.89,2.78,1.89,4.11,3.22
162,839,4.56,1.44,2.78,5.0,2.33,2.33,4.56,1.0
163,266,4.11,4.11,2.78,3.22,3.22,4.11,1.44,1.44
164,298,4.11,2.33,4.11,4.56,3.67,1.0,3.67,1.89
165,929,5.0,1.44,3.22,1.0,1.0,4.56,4.56,3.67
166,574,3.22,2.33,4.11,2.78,4.56,2.78,3.67,5.0
167,250,2.78,3.67,3.67,1.89,1.0,3.22,1.89,1.0
168,616,4.56,4.11,3.22,4.56,3.22,1.89,2.78,4.11
169,164,4.11,2.78,3.67,5.0,4.11,4.56,5.0,1.0
170,827,3.22,1.89,2.33,4.56,3.67,4.11,3.67,3.22
171,228,3.67,3.22,3.22,1.0,3.22,3.22,3.22,4.56
172,787,5.0,5.0,2.78,5.0,1.0,4.56,1.89,4.11
173,317,4.11,4.11,2.33,1.0,5.0,5.0,4.56,1.0
174,110,4.56,3.22,2.33,1.0,2.33,3.67,4.56,2.78
175,165,3.22,1.44,3.22,1.44,1.44,5.0,1.44,1.44
176,701,2.78,4.56,3.67,1.0,4.56,4.56,1.0,4.56
177,362,3.67,4.56,3.22,3.67,2.33,4.11,1.0,1.44
178,890,4.11,3.67,2.78,1.89,4.56,1.0,2.33,2.78
179,728,5.0,4.56,2.33,4.11,2.78,1.44,1.89,5.0
180,466,4.56,4.11,2.78,2.78,3.22,1.44,5.0,2.33
181,709,4.56,1.89,3.22,2.33,2.33,4.11,5.0,1.0
182,482,5.0,1.89,2.33,1.89,5.0,1.0,4.11,2.78
183,406,4.56,5.0,3.22,1.0,3.22,1.0,4.56,1.44
184,66,4.11,2.78,4.11,3.67,3.22,1.0,4.56,4.56
185,862,3.22,2.78,3.22,2.78,3.67,1.44,5.0,4.11
186,61,4.56,4.11,3.22,2.78,1.89,5.0,3.22,3.22
187,111,3.67,4.56,3.67,1.0,5.0,5.0,1.89,5.0
188,147,3.22,4.11,2.33,3.22,4.56,3.22,4.11,3.67
189,211,3.67,2.33,2.33,1.89,3.67,4.11,3.67,5.0
190,996,3.22,2.78,3.22,5.0,4.11,3.67,4.11,2.33
191,459,4.11,2.78,4.11,3.22,3.22,1.0,4.11,2.33
192,81,2.78,2.78,3.22,2.78,3.67,1.89,4.56,2.78
193,288,2.78,4.56,3.22,4.56,2.33,2.33,1.44,3.22
194,6,3.67,5.0,4.11,1.89,1.89,2.33,1.0,1.44
195,547,3.22,3.22,4.11,2.78,1.0,1.44,1.44,4.11
196,30,3.22,1.44,3.67,2.78,1.0,5.0,4.56,5.0
197,445,4.56,2.33,2.33,1.44,2.33,4.11,1.0,3.22
198,591,3.22,4.56,4.11,2.78,5.0,3.22,1.44,5.0
199,770,5.0,5.0,2.78,3.67,5.0,3.67,3.67,5.0
200,484,4.56,3.22,4.11,5.0,1.89,1.44,4.11,2.33
201,180,4.11,2.33,2.33,1.0,3.22,4.56,3.22,1.0
202,946,2.78,2.78,2.78,3.22,1.0,1.89,5.0,2.78
203,901,4.56,4.11,3.22,1.0,1.44,4.56,4.11,1.44
204,517,5.0,2.78,3.67,3.67,2.78,5.0,3.22,2.78
205,545,4.56,2.33,4.11,1.0,4.11,3.22,1.44,2.33
206,918,4.11,1.89,4.11,4.56,4.56,1.0,3.22,1.0
207,652,4.11,1.89,2.33,4.11,1.89,1.44,1.44,1.89
208,471,5.0,5.0,2.33,4.11,1.44,1.44,2.33,3.67
209,323,3.22,4.11,3.67,2.78,2.33,1.0,4.56,1.89
210,276,4.11,2.78,3.67,4.56,1.0,5.0,1.0,1.44
211,672,3.67,4.11,2.78,3.22,2.78,5.0,2.78,5.0
212,337,5.0,3.67,3.22,4.11,4.56,2.78,1.0,1.0
213,468,3.67,3.67,4.11,2.33,1.44,1.0,2.78,5.0
214,380,4.11,4.11,2.33,4.11,1.44,2.33,4.56,1.44
215,755,4.56,4.11,3.67,1.44,4.56,3.22,1.89,3.67
216,267,4.11,4.56,2.33,2.33,4.11,2.33,4.11,1.0
217,598,4.56,1.89,2.33,4.56,1.89,2.33,2.78,1.0
218,128,3.22,1.44,3.22,1.0,4.56,1.89,4.56,1.44
219,444,4.11,1.44,3.22,5.0,3.67,1.44,2.33,4.11
220,572,3.22,2.78,2.33,2.33,4.11,3.22,4.11,4.56
221,319,4.11,1.89,3.22,3.22,3.67,5.0,4.11,2.33
222,390,4.11,3.22,3.67,2.78,1.0,2.33,1.89,4.56
223,176,5.0,1.44,3.22,3.67,2.33,5.0,1.0,1.89
224,883,3.67,2.33,2.33,1.44,4.11,3.22,3.67,2.33
225,831,2.78,1.44,4.11,1.89,2.78,5.0,3.67,3.67
226,220,5.0,2.78,4.11,3.67,4.56,3.67,1.44,3.67
227,17,3.67,3.22,2.78,1.89,4.56,2.78,2.78,1.44
228,938,5.0,5.0,3.22,2.78,1.44,4.56,4.56,4.56
229,651,4.11,3.67,3.22,1.89,4.56,5.0,3.22,1.0
230,953,2.78,5.0,4.11,5.0,3.22,2.33,3.22,2.33
231,902,2.78,4.11,3.22,5.0,2.33,2.78,2.78,4.56
232,167,3.67,3.67,2.78,4.11,3.22,4.56,4.56,4.11
233,669,4.56,1.89,2.33,2.78,1.44,1.44,1.0,3.22
234,859,4.11,1.89,2.78,4.56,5.0,1.89,1.0,3.22
235,120,4.11,2.33,3.67,2.78,2.33,2.33,5.0,3.22
236,293,5.0,2.33,3.67,1.0,3.22,3.67,3.67,2.33
237,789,5.0,1.44,4.11,3.67,4.56,4.11,1.0,2.33
238,182,2.78,1.44,3.67,1.44,1.89,3.22,1.0,4.56
239,369,5.0,2.78,2.33,2.33,1.89,3.67,2.33,5.0
240,207,3.22,4.11,3.22,3.67,4.56,3.67,1.44,2.78
241,842,5.0,3.67,2.78,1.89,1.89,3.22,2.33,3.22
242,38,2.78,4.11,3.67,3.22,5.0,4.11,4.56,2.78
243,495,2.78,2.33,3.67,4.56,3.22,5.0,2.78,4.56
244,942,5.0,3.22,4.11,1.89,3.67,4.11,2.33,2.78
245,752,5.0,3.67,2.33,2.33,2.33,4.56,5.0,3.67
246,940,3.67,1.89,3.22,4.56,5.0,4.11,1.89,2.78
247,648,2.78,3.67,3.67,4.56,3.22,1.89,5.0,1.89
248,125,3.22,1.44,2.33,2.78,4.56,3.67,3.67,3.67
249,516,5.0,1.44,4.11,4.56,1.44,1.89,1.89,1.0
250,963,4.56,3.22,2.33,2.78,1.89,1.89,3.22,3.22
251,215,2.78,3.22,3.22,1.44,1.0,4.56,2.78,4.11
252,823,3.67,2.78,4.11,1.89,2.33,1.89,1.0,5.0
253,840,2.78,3.67,2.78,3.22,4.56,4.56,5.0,3.22
254,429,4.11,1.89,2.78,1.0,4.11,1.0,4.11,4.56
255,109,3.22,1.89,2.78,3.22,1.0,3.22,3.22,5.0
256,795,3.22,4.56,4.11,2.33,1.44,3.22,5.0,3.22
257,760,4.56,2.33,2.33,1.89,4.11,2.78,5.0,1.0
258,536,5.0,5.0,2.33,3.67,4.11,3.67,3.22,1.44
259,888,3.22,3.22,2.78,1.44,1.89,3.22,3.22,1.89
260,719,5.0,5.0,4.11,3.67,3.22,5.0,3.22,2.33
261,654,3.22,2.33,2.33,4.56,2.78,4.11,4.11,1.44
262,947,3.67,1.89,4.11,1.0,2.78,4.56,3.67,1.44
263,403,2.78,3.67,3.22,3.22,2.78,3.22,2.33,3.22
264,124,4.56,4.56,3.67,4.56,1.0,4.56,2.33,1.89
265,548,4.56,4.11,3.22,3.67,1.0,1.44,3.67,3.22
266,880,3.67,1.89,3.22,1.89,2.78,1.89,1.89,5.0
267,939,5.0,5.0,3.67,2.33,1.0,1.44,1.89,4.56
268,166,3.22,5.0,2.33,2.33,2.33,4.11,2.33,3.22
269,885,2.78,3.22,3.67,3.67,1.44,1.44,2.78,3.67
270,112,3.67,4.56,3.22,4.56,1.0,3.67,1.0,1.44
271,811,4.11,4.11,4.11,3.22,1.0,2.33,4.56,1.0
272,213,5.0,4.11,2.33,5.0,1.0,2.78,3.22,1.44
273,375,5.0,2.33,2.33,1.0,1.89,2.33,3.67,4.56
274,897,3.22,3.67,2.33,1.0,4.56,4.11,4.11,3.67
275,460,3.67,4.11,2.78,3.22,3.67,3.67,3.22,3.67
276,416,3.22,1.44,2.78,4.11,4.56,3.22,1.89,3.67
277,571,4.11,4.56,3.67,1.89,1.0,4.11,4.56,3.67
278,744,4.11,2.78,3.67,1.89,5.0,2.33,3.22,3.67
279,378,4.56,4.11,3.67,1.44,2.33,3.67,1.44,3.22
280,121,2.78,4.56,2.78,1.44,2.33,2.78,3.22,3.22
281,462,5.0,2.33,4.11,2.78,2.33,3.22,2.33,3.67
282,777,4.11,3.22,2.33,3.22,2.33,3.67,5.0,1.0
283,845,2.78,5.0,3.22,4.11,2.33,2.33,2.33,2.78
284,533,3.22,5.0,2.78,3.67,1.44,2.78,5.0,5.0
285,450,2.78,1.44,3.22,1.44,2.33,2.78,1.0,2.33
286,717,3.22,1.44,2.33,3.22,3.22,1.44,3.22,4.56
287,469,5.0,4.11,3.22,1.0,1.89,2.78,4.11,5.0
288,670,3.67,3.67,4.11,1.0,3.22,1.0,1.44,1.0
289,137,4.11,1.44,2.78,1.44,2.33,4.56,3.67,4.11
290,801,5.0,3.67,2.33,1.89,3.22,1.0,5.0,2.33
291,315,2.78,5.0,2.78,5.0,4.11,2.33,4.11,2.33
292,153,3.67,3.67,2.78,1.89,4.11,4.56,4.11,4.56
293,190,4.11,3.22,3.67,2.78,3.22,2.33,1.89,4.11
294,22,3.67,4.56,2.33,1.0,1.44,4.11,5.0,2.33
295,949,4.56,4.11,3.67,1.0,3.67,3.22,4.56,2.33
296,523,5.0,1.44,3.22,4.56,3.67,2.78,5.0,4.56
297,527,2.78,3.22,2.78,1.44,4.11,3.22,4.56,4.11
298,461,3.67,5.0,3.67,3.22,3.22,4.11,2.33,4.56
299,244,2.78,4.11,2.33,4.56,1.89,5.0,1.0,1.89
300,363,4.56,1.89,4.11,5.0,1.44,3.67,2.78,1.0
301,610,4.11,5.0,3.22,4.11,1.44,1.0,2.78,1.0
302,381,4.56,1.44,4.11,4.11,1.0,4.56,1.0,1.44
303,954,4.11,4.11,3.22,1.89,4.56,2.78,3.67,1.44
304,604,5.0,4.56,4.11,4.56,2.33,4.11,3.67,4.56
305,414,5.0,3.22,2.33,4.11,1.44,4.56,4.56,1.89
306,151,4.11,3.67,2.78,5.0,4.11,1.89,4.11,3.22
307,721,3.22,4.56,2.33,1.0,2.33,5.0,5.0,4.56
308,664,5.0,4.11,3.67,2.33,4.11,1.44,1.0,5.0
309,956,3.67,1.44,3.22,2.78,1.44,1.89,4.11,3.67
310,747,2.78,1.89,2.78,3.22,2.78,5.0,1.89,3.22
311,438,4.56,3.22,2.78,4.56,1.44,1.89,4.56,1.89
312,975,2.78,5.0,2.33,4.11,3.67,3.22,4.11,1.89
313,277,2.78,3.22,4.11,3.67,1.44,3.67,1.0,5.0
314,312,3.67,1.44,3.67,3.22,3.22,1.89,3.67,1.44
315,565,5.0,4.56,3.67,5.0,2.33,4.11,2.78,2.33
316,739,4.11,3.67,2.78,5.0,1.0,1.0,4.11,1.0
317,584,4.11,4.11,2.78,4.11,3.22,3.22,4.56,2.33
318,894,3.22,1.89,2.78,2.33,3.67,1.0,2.78,2.78
319,270,4.56,5.0,2.78,4.56,3.22,2.33,3.67,3.67
320,966,3.67,2.33,2.78,1.89,1.0,4.11,5.0,1.44
321,489,3.67,1.44,2.78,4.11,1.0,1.0,4.11,4.11
322,665,3.22,1.89,2.33,1.44,4.11,2.78,4.11,2.78
323,71,4.56,5.0,4.11,2.33,4.56,1.89,4.11,1.44
324,603,3.67,1.44,3.67,1.0,3.67,3.67,1.0,3.67
325,196,4.11,5.0,4.11,5.0,3.22,3.67,3.67,3.67
326,804,4.56,1.89,3.67,3.22,5.0,3.67,4.56,3.67
327,837,2.78,5.0,2.33,1.0,2.33,4.11,4.56,1.0
328,530,3.22,2.78,2.33,4.56,1.0,1.44,1.89,3.22
329,720,3.22,3.22,3.22,4.56,5.0,2.33,3.22,3.67
330,272,2.78,2.33,3.22,2.33,2.33,3.67,3.67,4.56
331,984,2.78,5.0,3.22,2.33,1.44,5.0,2.33,3.22
332,185,5.0,1.89,4.11,2.33,1.0,5.0,3.67,4.56
333,487,3.22,3.22,2.33,1.44,5.0,5.0,1.0,4.56
334,75,4.11,4.56,4.11,3.22,1.44,3.67,4.56,5.0
335,718,3.22,1.89,3.22,3.67,3.22,3.22,1.44,3.22
336,496,5.0,3.67,2.33,3.22,5.0,2.78,1.89,3.22
337,630,2.78,2.78,2.33,4.11,1.89,3.22,3.22,4.11
338,637,4.11,5.0,2.78,3.22,5.0,4.11,1.44,1.44
339,360,4.56,4.56,4.11,1.44,1.89,1.0,4.11,3.22
340,183,3.22,3.67,2.78,2.78,2.33,3.67,1.0,4.56
341,689,5.0,4.11,3.67,4.11,1.0,4.56,2.78,5.0
342,236,3.22,4.56,3.22,2.33,1.0,1.44,4.11,2.33
343,768,3.22,3.22,3.22,1.89,2.78,4.56,4.11,1.89
344,316,3.67,1.44,3.67,4.11,3.22,2.33,1.44,4.56
345,396,3.22,5.0,2.33,3.22,1.0,1.44,2.33,5.0
346,212,3.22,2.33,2.33,3.22,2.78,5.0,5.0,1.44
347,830,4.56,3.67,3.67,5.0,3.67,4.11,3.22,2.33
348,209,4.56,4.11,2.78,1.89,1.89,5.0,3.67,1.44
349,62,3.67,2.33,2.33,2.78,1.89,5.0,1.44,1.0
350,447,4.11,3.67,3.67,1.0,2.33,3.67,5.0,4.56
351,100,3.22,3.22,3.22,5.0,3.67,2.78,3.67,4.11
352,305,5.0,4.11,4.11,2.33,3.22,1.89,5.0,2.33
353,494,5.0,3.22,3.22,3.22,2.33,5.0,1.44,4.56
354,328,5.0,3.22,2.78,2.33,3.22,5.0,4.11,1.44
355,854,4.11,1.44,4.11,2.33,3.22,1.44,2.33,3.67
356,866,2.78,5.0,2.33,4.11,1.89,3.67,2.33,2.78
357,943,4.11,4.56,3.67,5.0,3.22,3.67,3.67,3.22
358,734,4.56,4.11,2.78,1.89,5.0,1.0,4.11,1.89
359,189,4.56,1.89,3.22,1.44,1.89,4.11,5.0,3.67
360,404,5.0,2.78,3.67,4.11,1.0,2.78,5.0,2.33
361,518,3.67,2.33,4.11,2.78,3.67,4.56,1.44,3.22
362,856,3.22,4.56,2.33,3.22,4.11,4.11,1.89,4.11
363,70,4.56,1.44,2.78,4.11,5.0,4.56,3.67,3.22
364,457,3.67,2.33,4.11,1.44,1.89,3.22,4.11,2.33
365,148,2.78,2.33,2.33,2.33,4.11,5.0,2.78,2.78
366,958,5.0,5.0,2.78,4.11,2.78,5.0,3.67,4.11
367,356,3.67,1.89,3.67,3.22,2.33,1.44,1.0,5.0
368,793,5.0,4.56,3.22,2.33,3.67,3.22,4.11,1.89
369,771,4.11,3.67,3.22,2.33,4.11,3.67,1.89,1.44
370,452,2.78,3.22,3.67,4.56,3.67,4.11,3.22,1.0
371,72,4.11,3.67,3.67,1.89,2.33,1.0,2.33,3.67
372,710,3.67,1.44,3.22,2.78,3.67,3.67,3.22,5.0
373,980,3.22,1.89,3.67,1.0,2.78,2.33,4.56,2.33
374,145,3.22,4.11,2.33,3.22,1.0,1.89,1.44,3.67
375,960,3.22,4.56,3.22,1.0,1.89,1.89,2.78,4.11
376,660,2.78,3.67,3.67,1.89,5.0,1.89,1.89,2.33
377,987,4.56,5.0,3.67,4.11,3.67,1.89,4.11,3.67
378,534,4.56,2.78,3.67,2.78,1.44,3.22,5.0,4.11
379,858,4.56,2.78,2.78,1.89,1.44,1.44,3.67,3.67
380,324,5.0,2.78,2.78,1.44,1.44,2.78,3.67,3.22
381,884,3.67,2.33,3.67,5.0,2.78,1.0,3.67,2.33
382,611,4.11,4.56,2.78,1.89,4.56,2.78,4.11,1.89
