Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance
99,780,0,0,0,0,0,0,0,0
100,853,0,0,0,0,0,0,0,0
101,202,0,0,0,0,0,0,0,0
102,421,0,0,0,0,0,0,0,0
103,671,0,0,0,0,0,0,0,0
104,334,0,0,0,0,0,0,0,0
105,843,0,0,0,0,0,0,0,0
106,57,0,0,0,0,0,0,0,0
107,353,0,0,0,0,0,0,0,0
108,681,0,0,0,0,0,0,0,0
109,394,0,0,0,0,0,0,0,0
110,188,0,0,0,0,0,0,0,0
111,641,0,0,0,0,0,0,0,0
112,544,0,0,0,0,0,0,0,0
113,163,0,0,0,0,0,0,0,0
114,283,0,0,0,0,0,0,0,0
115,820,0,0,0,0,0,0,0,0
116,254,0,0,0,0,0,0,0,0
117,221,0,0,0,0,0,0,0,0
118,736,0,0,0,0,0,0,0,0
119,280,0,0,0,0,0,0,0,0
120,976,0,0,0,0,0,0,0,0
121,481,0,0,0,0,0,0,0,0
122,80,0,0,0,0,0,0,0,0
123,473,0,0,0,0,0,0,0,0
124,762,0,0,0,0,0,0,0,0
125,385,0,0,0,0,0,0,0,0
126,195,0,0,0,0,0,0,0,0
127,144,0,0,0,0,0,0,0,0
128,767,0,0,0,0,0,0,0,0
129,300,0,0,0,0,0,0,0,0
130,580,0,0,0,0,0,0,0,0
131,216,0,0,0,0,0,0,0,0
132,583,0,0,0,0,0,0,0,0
133,881,0,0,0,0,0,0,0,0
134,488,0,0,0,0,0,0,0,0
135,892,0,0,0,0,0,0,0,0
136,152,0,0,0,0,0,0,0,0
137,925,0,0,0,0,0,0,0,0
138,729,0,0,0,0,0,0,0,0
139,647,0,0,0,0,0,0,0,0
140,686,0,0,0,0,0,0,0,0
141,93,0,0,0,0,0,0,0,0
142,485,0,0,0,0,0,0,0,0
143,59,0,0,0,0,0,0,0,0
144,907,0,0,0,0,0,0,0,0
145,158,0,0,0,0,0,0,0,0
146,955,0,0,0,0,0,0,0,0
147,758,0,0,0,0,0,0,0,0
148,605,0,0,0,0,0,0,0,0
149,475,0,0,0,0,0,0,0,0
150,154,0,0,0,0,0,0,0,0
151,79,0,0,0,0,0,0,0,0
152,36,0,0,0,0,0,0,0,0
153,562,0,0,0,0,0,0,0,0
154,231,0,0,0,0,0,0,0,0
155,869,0,0,0,0,0,0,0,0
156,608,0,0,0,0,0,0,0,0
157,846,0,0,0,0,0,0,0,0
158,542,0,0,0,0,0,0,0,0
159,941,0,0,0,0,0,0,0,0
160,919,0,0,0,0,0,0,0,0
161,352,0,0,0,0,0,0,0,0
162,839,0,0,0,0,0,0,0,0
163,266,0,0,0,0,0,0,0,0
164,298,0,0,0,0,0,0,0,0
165,929,0,0,0,0,0,0,0,0
166,574,0,0,0,0,0,0,0,0
167,250,0,0,0,0,0,0,0,0
168,616,0,0,0,0,0,0,0,0
169,164,0,0,0,0,0,0,0,0
170,827,0,0,0,0,0,0,0,0
171,228,0,0,0,0,0,0,0,0
172,787,0,0,0,0,0,0,0,0
173,317,0,0,0,0,0,0,0,0
174,110,0,0,0,0,0,0,0,0
175,165,0,0,0,0,0,0,0,0
176,701,0,0,0,0,0,0,0,0
177,362,0,0,0,0,0,0,0,0
178,890,0,0,0,0,0,0,0,0
179,728,0,0,0,0,0,0,0,0
180,466,0,0,0,0,0,0,0,0
181,709,0,0,0,0,0,0,0,0
182,482,0,0,0,0,0,0,0,0
183,406,0,0,0,0,0,0,0,0
184,66,0,0,0,0,0,0,0,0
185,862,0,0,0,0,0,0,0,0
186,61,0,0,0,0,0,0,0,0
187,111,0,0,0,0,0,0,0,0
188,147,0,0,0,0,0,0,0,0
189,211,0,0,0,0,0,0,0,0
190,996,0,0,0,0,0,0,0,0
191,459,0,0,0,0,0,0,0,0
192,81,0,0,0,0,0,0,0,0
193,288,0,0,0,0,0,0,0,0
194,6,0,0,0,0,0,0,0,0
195,547,0,0,0,0,0,0,0,0
196,30,0,0,0,0,0,0,0,0
197,445,0,0,0,0,0,0,0,0
198,591,0,0,0,0,0,0,0,0
199,770,0,0,0,0,0,0,0,0
200,484,0,0,0,0,0,0,0,0
201,180,0,0,0,0,0,0,0,0
202,946,0,0,0,0,0,0,0,0
203,901,0,0,0,0,0,0,0,0
204,517,0,0,0,0,0,0,0,0
205,545,0,0,0,0,0,0,0,0
206,918,0,0,0,0,0,0,0,0
207,652,0,0,0,0,0,0,0,0
208,471,0,0,0,0,0,0,0,0
209,323,0,0,0,0,0,0,0,0
210,276,0,0,0,0,0,0,0,0
211,672,0,0,0,0,0,0,0,0
212,337,0,0,0,0,0,0,0,0
213,468,0,0,0,0,0,0,0,0
214,380,0,0,0,0,0,0,0,0
215,755,0,0,0,0,0,0,0,0
216,267,0,0,0,0,0,0,0,0
217,598,0,0,0,0,0,0,0,0
218,128,0,0,0,0,0,0,0,0
219,444,0,0,0,0,0,0,0,0
220,572,0,0,0,0,0,0,0,0
221,319,0,0,0,0,0,0,0,0
222,390,0,0,0,0,0,0,0,0
223,176,0,0,0,0,0,0,0,0
224,883,0,0,0,0,0,0,0,0
225,831,0,0,0,0,0,0,0,0
226,220,0,0,0,0,0,0,0,0
227,17,0,0,0,0,0,0,0,0
228,938,0,0,0,0,0,0,0,0
229,651,0,0,0,0,0,0,0,0
230,953,0,0,0,0,0,0,0,0
231,902,0,0,0,0,0,0,0,0
232,167,0,0,0,0,0,0,0,0
233,669,0,0,0,0,0,0,0,0
234,859,0,0,0,0,0,0,0,0
235,120,0,0,0,0,0,0,0,0
236,293,0,0,0,0,0,0,0,0
237,789,0,0,0,0,0,0,0,0
238,182,0,0,0,0,0,0,0,0
239,369,0,0,0,0,0,0,0,0
240,207,0,0,0,0,0,0,0,0
241,842,0,0,0,0,0,0,0,0
242,38,0,0,0,0,0,0,0,0
243,495,0,0,0,0,0,0,0,0
244,942,0,0,0,0,0,0,0,0
245,752,0,0,0,0,0,0,0,0
246,940,0,0,0,0,0,0,0,0
247,648,0,0,0,0,0,0,0,0
248,125,0,0,0,0,0,0,0,0
249,516,0,0,0,0,0,0,0,0
250,963,0,0,0,0,0,0,0,0
251,215,0,0,0,0,0,0,0,0
252,823,0,0,0,0,0,0,0,0
253,840,0,0,0,0,0,0,0,0
254,429,0,0,0,0,0,0,0,0
255,109,0,0,0,0,0,0,0,0
256,795,0,0,0,0,0,0,0,0
257,760,0,0,0,0,0,0,0,0
258,536,0,0,0,0,0,0,0,0
259,888,0,0,0,0,0,0,0,0
260,719,0,0,0,0,0,0,0,0
261,654,0,0,0,0,0,0,0,0
262,947,0,0,0,0,0,0,0,0
263,403,0,0,0,0,0,0,0,0
264,124,0,0,0,0,0,0,0,0
265,548,0,0,0,0,0,0,0,0
266,880,0,0,0,0,0,0,0,0
267,939,0,0,0,0,0,0,0,0
268,166,0,0,0,0,0,0,0,0
269,885,0,0,0,0,0,0,0,0
270,112,0,0,0,0,0,0,0,0
271,811,0,0,0,0,0,0,0,0
272,213,0,0,0,0,0,0,0,0
273,375,0,0,0,0,0,0,0,0
274,897,0,0,0,0,0,0,0,0
275,460,0,0,0,0,0,0,0,0
276,416,0,0,0,0,0,0,0,0
277,571,0,0,0,0,0,0,0,0
278,744,0,0,0,0,0,0,0,0
279,378,0,0,0,0,0,0,0,0
280,121,0,0,0,0,0,0,0,0
281,462,0,0,0,0,0,0,0,0
282,777,0,0,0,0,0,0,0,0
283,845,0,0,0,0,0,0,0,0
284,533,0,0,0,0,0,0,0,0
285,450,0,0,0,0,0,0,0,0
286,717,0,0,0,0,0,0,0,0
287,469,0,0,0,0,0,0,0,0
288,670,0,0,0,0,0,0,0,0
289,137,0,0,0,0,0,0,0,0
290,801,0,0,0,0,0,0,0,0
291,315,0,0,0,0,0,0,0,0
292,153,0,0,0,0,0,0,0,0
293,190,0,0,0,0,0,0,0,0
294,22,0,0,0,0,0,0,0,0
295,949,0,0,0,0,0,0,0,0
296,523,0,0,0,0,0,0,0,0
297,527,0,0,0,0,0,0,0,0
298,461,0,0,0,0,0,0,0,0
299,244,0,0,0,0,0,0,0,0
300,363,0,0,0,0,0,0,0,0
301,610,0,0,0,0,0,0,0,0
302,381,0,0,0,0,0,0,0,0
303,954,0,0,0,0,0,0,0,0
304,604,0,0,0,0,0,0,0,0
305,414,0,0,0,0,0,0,0,0
306,151,0,0,0,0,0,0,0,0
307,721,0,0,0,0,0,0,0,0
308,664,0,0,0,0,0,0,0,0
309,956,0,0,0,0,0,0,0,0
310,747,0,0,0,0,0,0,0,0
311,438,0,0,0,0,0,0,0,0
312,975,0,0,0,0,0,0,0,0
313,277,0,0,0,0,0,0,0,0
314,312,0,0,0,0,0,0,0,0
315,565,0,0,0,0,0,0,0,0
316,739,0,0,0,0,0,0,0,0
317,584,0,0,0,0,0,0,0,0
318,894,0,0,0,0,0,0,0,0
319,270,0,0,0,0,0,0,0,0
320,966,0,0,0,0,0,0,0,0
321,489,0,0,0,0,0,0,0,0
322,665,0,0,0,0,0,0,0,0
323,71,0,0,0,0,0,0,0,0
324,603,0,0,0,0,0,0,0,0
325,196,0,0,0,0,0,0,0,0
326,804,0,0,0,0,0,0,0,0
327,837,0,0,0,0,0,0,0,0
328,530,0,0,0,0,0,0,0,0
329,720,0,0,0,0,0,0,0,0
330,272,0,0,0,0,0,0,0,0
331,984,0,0,0,0,0,0,0,0
332,185,0,0,0,0,0,0,0,0
333,487,0,0,0,0,0,0,0,0
334,75,0,0,0,0,0,0,0,0
335,718,0,0,0,0,0,0,0,0
336,496,0,0,0,0,0,0,0,0
337,630,0,0,0,0,0,0,0,0
338,637,0,0,0,0,0,0,0,0
339,360,0,0,0,0,0,0,0,0
340,183,0,0,0,0,0,0,0,0
341,689,0,0,0,0,0,0,0,0
342,236,0,0,0,0,0,0,0,0
343,768,0,0,0,0,0,0,0,0
344,316,0,0,0,0,0,0,0,0
345,396,0,0,0,0,0,0,0,0
346,212,0,0,0,0,0,0,0,0
347,830,0,0,0,0,0,0,0,0
348,209,0,0,0,0,0,0,0,0
349,62,0,0,0,0,0,0,0,0
350,447,0,0,0,0,0,0,0,0
351,100,0,0,0,0,0,0,0,0
352,305,0,0,0,0,0,0,0,0
353,494,0,0,0,0,0,0,0,0
354,328,0,0,0,0,0,0,0,0
355,854,0,0,0,0,0,0,0,0
356,866,0,0,0,0,0,0,0,0
357,943,0,0,0,0,0,0,0,0
358,734,0,0,0,0,0,0,0,0
359,189,0,0,0,0,0,0,0,0
360,404,0,0,0,0,0,0,0,0
361,518,0,0,0,0,0,0,0,0
362,856,0,0,0,0,0,0,0,0
363,70,0,0,0,0,0,0,0,0
364,457,0,0,0,0,0,0,0,0
365,148,0,0,0,0,0,0,0,0
366,958,0,0,0,0,0,0,0,0
367,356,0,0,0,0,0,0,0,0
368,793,0,0,0,0,0,0,0,0
369,771,0,0,0,0,0,0,0,0
370,452,0,0,0,0,0,0,0,0
371,72,0,0,0,0,0,0,0,0
372,710,0,0,0,0,0,0,0,0
373,980,0,0,0,0,0,0,0,0
374,145,0,0,0,0,0,0,0,0
375,960,0,0,0,0,0,0,0,0
376,660,0,0,0,0,0,0,0,0
377,987,0,0,0,0,0,0,0,0
378,534,0,0,0,0,0,0,0,0
379,858,0,0,0,0,0,0,0,0
380,324,0,0,0,0,0,0,0,0
381,884,0,0,0,0,0,0,0,0
382,611,0,0,0,0,0,0,0,0
383,136,0,0,0,0,0,0,0,0
384,705,0,0,0,0,0,0,0,0
385,991,0,0,0,0,0,0,0,0
386,676,0,0,0,0,0,0,0,0
387,769,0,0,0,0,0,0,0,0
388,246,0,0,0,0,0,0,0,0
389,644,0,0,0,0,0,0,0,0
390,263,0,0,0,0,0,0,0,0
391,476,0,0,0,0,0,0,0,0
392,697,0,0,0,0,0,0,0,0
393,95,0,0,0,0,0,0,0,0
394,688,0,0,0,0,0,0,0,0
395,633,0,0,0,0,0,0,0,0
396,241,0,0,0,0,0,0,0,0
397,524,0,0,0,0,0,0,0,0
398,504,0,0,0,0,0,0,0,0
399,417,0,0,0,0,0,0,0,0
400,554,0,0,0,0,0,0,0,0
401,656,0,0,0,0,0,0,0,0
402,19,0,0,0,0,0,0,0,0
403,275,0,0,0,0,0,0,0,0
404,478,0,0,0,0,0,0,0,0
405,132,0,0,0,0,0,0,0,0
406,515,0,0,0,0,0,0,0,0
407,44,0,0,0,0,0,0,0,0
408,388,0,0,0,0,0,0,0,0
409,204,0,0,0,0,0,0,0,0
410,338,0,0,0,0,0,0,0,0
411,619,0,0,0,0,0,0,0,0
412,205,0,0,0,0,0,0,0,0
413,39,0,0,0,0,0,0,0,0
414,53,0,0,0,0,0,0,0,0
415,58,0,0,0,0,0,0,0,0
416,157,0,0,0,0,0,0,0,0
417,28,0,0,0,0,0,0,0,0
418,833,0,0,0,0,0,0,0,0
419,252,0,0,0,0,0,0,0,0
420,658,0,0,0,0,0,0,0,0
421,179,0,0,0,0,0,0,0,0
422,851,0,0,0,0,0,0,0,0
423,809,0,0,0,0,0,0,0,0
424,330,0,0,0,0,0,0,0,0
425,94,0,0,0,0,0,0,0,0
426,826,0,0,0,0,0,0,0,0
427,227,0,0,0,0,0,0,0,0
428,1000,0,0,0,0,0,0,0,0
429,114,0,0,0,0,0,0,0,0
430,251,0,0,0,0,0,0,0,0
431,613,0,0,0,0,0,0,0,0
432,101,0,0,0,0,0,0,0,0
433,871,0,0,0,0,0,0,0,0
434,551,0,0,0,0,0,0,0,0
435,931,0,0,0,0,0,0,0,0
436,49,0,0,0,0,0,0,0,0
437,512,0,0,0,0,0,0,0,0
438,261,0,0,0,0,0,0,0,0
439,754,0,0,0,0,0,0,0,0
440,345,0,0,0,0,0,0,0,0
441,970,0,0,0,0,0,0,0,0
442,990,0,0,0,0,0,0,0,0
443,911,0,0,0,0,0,0,0,0
444,909,0,0,0,0,0,0,0,0
445,817,0,0,0,0,0,0,0,0
446,733,0,0,0,0,0,0,0,0
447,626,0,0,0,0,0,0,0,0
448,292,0,0,0,0,0,0,0,0
449,82,0,0,0,0,0,0,0,0
450,355,0,0,0,0,0,0,0,0
451,948,0,0,0,0,0,0,0,0
452,341,0,0,0,0,0,0,0,0
453,952,0,0,0,0,0,0,0,0
454,711,0,0,0,0,0,0,0,0
455,635,0,0,0,0,0,0,0,0
456,850,0,0,0,0,0,0,0,0
457,716,0,0,0,0,0,0,0,0
458,627,0,0,0,0,0,0,0,0
459,661,0,0,0,0,0,0,0,0
460,877,0,0,0,0,0,0,0,0
461,177,0,0,0,0,0,0,0,0
462,322,0,0,0,0,0,0,0,0
463,914,0,0,0,0,0,0,0,0
464,486,0,0,0,0,0,0,0,0
465,723,0,0,0,0,0,0,0,0
466,105,0,0,0,0,0,0,0,0
467,52,0,0,0,0,0,0,0,0
468,436,0,0,0,0,0,0,0,0
469,829,0,0,0,0,0,0,0,0
470,753,0,0,0,0,0,0,0,0
471,130,0,0,0,0,0,0,0,0
472,91,0,0,0,0,0,0,0,0
473,590,0,0,0,0,0,0,0,0
474,965,0,0,0,0,0,0,0,0
475,99,0,0,0,0,0,0,0,0
476,912,0,0,0,0,0,0,0,0
477,395,0,0,0,0,0,0,0,0
478,923,0,0,0,0,0,0,0,0
479,499,0,0,0,0,0,0,0,0
480,115,0,0,0,0,0,0,0,0
481,815,0,0,0,0,0,0,0,0
482,570,0,0,0,0,0,0,0,0
483,825,0,0,0,0,0,0,0,0
484,620,0,0,0,0,0,0,0,0
485,175,0,0,0,0,0,0,0,0
486,358,0,0,0,0,0,0,0,0
487,191,0,0,0,0,0,0,0,0
488,492,0,0,0,0,0,0,0,0
489,529,0,0,0,0,0,0,0,0
490,389,0,0,0,0,0,0,0,0
491,878,0,0,0,0,0,0,0,0
492,368,0,0,0,0,0,0,0,0
493,122,0,0,0,0,0,0,0,0
494,332,0,0,0,0,0,0,0,0
495,303,0,0,0,0,0,0,0,0
496,336,0,0,0,0,0,0,0,0
497,588,0,0,0,0,0,0,0,0
498,609,0,0,0,0,0,0,0,0
499,920,0,0,0,0,0,0,0,0
500,370,0,0,0,0,0,0,0,0
501,405,0,0,0,0,0,0,0,0
502,779,0,0,0,0,0,0,0,0
503,962,0,0,0,0,0,0,0,0
504,268,0,0,0,0,0,0,0,0
505,625,0,0,0,0,0,0,0,0
506,217,0,0,0,0,0,0,0,0
507,479,0,0,0,0,0,0,0,0
508,500,0,0,0,0,0,0,0,0
509,409,0,0,0,0,0,0,0,0
510,546,0,0,0,0,0,0,0,0
511,967,0,0,0,0,0,0,0,0
512,343,0,0,0,0,0,0,0,0
513,639,0,0,0,0,0,0,0,0
514,402,0,0,0,0,0,0,0,0
515,617,0,0,0,0,0,0,0,0
516,349,0,0,0,0,0,0,0,0
517,994,0,0,0,0,0,0,0,0
518,279,0,0,0,0,0,0,0,0
519,926,0,0,0,0,0,0,0,0
520,816,0,0,0,0,0,0,0,0
521,765,0,0,0,0,0,0,0,0
522,160,0,0,0,0,0,0,0,0
523,606,0,0,0,0,0,0,0,0
524,602,0,0,0,0,0,0,0,0
525,893,0,0,0,0,0,0,0,0
526,810,0,0,0,0,0,0,0,0
527,802,0,0,0,0,0,0,0,0
528,162,0,0,0,0,0,0,0,0
529,449,0,0,0,0,0,0,0,0
530,463,0,0,0,0,0,0,0,0
531,41,0,0,0,0,0,0,0,0
532,838,0,0,0,0,0,0,0,0
533,703,0,0,0,0,0,0,0,0
534,490,0,0,0,0,0,0,0,0
535,906,0,0,0,0,0,0,0,0
536,174,0,0,0,0,0,0,0,0
537,4,0,0,0,0,0,0,0,0
538,161,0,0,0,0,0,0,0,0
539,31,0,0,0,0,0,0,0,0
540,623,0,0,0,0,0,0,0,0
541,818,0,0,0,0,0,0,0,0
542,60,0,0,0,0,0,0,0,0
543,384,0,0,0,0,0,0,0,0
544,971,0,0,0,0,0,0,0,0
545,427,0,0,0,0,0,0,0,0
546,431,0,0,0,0,0,0,0,0
547,408,0,0,0,0,0,0,0,0
548,577,0,0,0,0,0,0,0,0
549,803,0,0,0,0,0,0,0,0
550,273,0,0,0,0,0,0,0,0
551,371,0,0,0,0,0,0,0,0
552,999,0,0,0,0,0,0,0,0
553,595,0,0,0,0,0,0,0,0
554,63,0,0,0,0,0,0,0,0
555,899,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0
557,796,0,0,0,0,0,0,0,0
558,181,0,0,0,0,0,0,0,0
559,290,0,0,0,0,0,0,0,0
560,373,0,0,0,0,0,0,0,0
561,285,0,0,0,0,0,0,0,0
562,882,0,0,0,0,0,0,0,0
563,776,0,0,0,0,0,0,0,0
564,935,0,0,0,0,0,0,0,0
565,679,0,0,0,0,0,0,0,0
566,102,0,0,0,0,0,0,0,0
567,618,0,0,0,0,0,0,0,0
568,607,0,0,0,0,0,0,0,0
569,743,0,0,0,0,0,0,0,0
570,682,0,0,0,0,0,0,0,0
571,16,0,0,0,0,0,0,0,0
572,969,0,0,0,0,0,0,0,0
573,46,0,0,0,0,0,0,0,0
574,706,0,0,0,0,0,0,0,0
575,993,0,0,0,0,0,0,0,0
576,508,0,0,0,0,0,0,0,0
577,989,0,0,0,0,0,0,0,0
578,133,0,0,0,0,0,0,0,0
579,15,0,0,0,0,0,0,0,0
580,78,0,0,0,0,0,0,0,0
581,433,0,0,0,0,0,0,0,0
582,784,0,0,0,0,0,0,0,0
583,983,0,0,0,0,0,0,0,0
584,197,0,0,0,0,0,0,0,0
585,483,0,0,0,0,0,0,0,0
586,376,0,0,0,0,0,0,0,0
587,915,0,0,0,0,0,0,0,0
588,210,0,0,0,0,0,0,0,0
589,20,0,0,0,0,0,0,0,0
590,425,0,0,0,0,0,0,0,0
591,668,0,0,0,0,0,0,0,0
592,54,0,0,0,0,0,0,0,0
593,950,0,0,0,0,0,0,0,0
594,782,0,0,0,0,0,0,0,0
595,108,0,0,0,0,0,0,0,0
596,400,0,0,0,0,0,0,0,0
597,685,0,0,0,0,0,0,0,0
598,673,0,0,0,0,0,0,0,0
599,198,0,0,0,0,0,0,0,0
600,14,0,0,0,0,0,0,0,0
601,172,0,0,0,0,0,0,0,0
602,359,0,0,0,0,0,0,0,0
603,714,0,0,0,0,0,0,0,0
604,785,0,0,0,0,0,0,0,0
605,865,0,0,0,0,0,0,0,0
606,662,0,0,0,0,0,0,0,0
607,513,0,0,0,0,0,0,0,0
608,722,0,0,0,0,0,0,0,0
609,8,0,0,0,0,0,0,0,0
610,873,0,0,0,0,0,0,0,0
611,684,0,0,0,0,0,0,0,0
612,73,0,0,0,0,0,0,0,0
613,900,0,0,0,0,0,0,0,0
614,933,0,0,0,0,0,0,0,0
615,634,0,0,0,0,0,0,0,0
616,835,0,0,0,0,0,0,0,0
617,422,0,0,0,0,0,0,0,0
618,235,0,0,0,0,0,0,0,0
619,286,0,0,0,0,0,0,0,0
620,129,0,0,0,0,0,0,0,0
621,443,0,0,0,0,0,0,0,0
622,301,0,0,0,0,0,0,0,0
623,532,0,0,0,0,0,0,0,0
624,64,0,0,0,0,0,0,0,0
625,860,0,0,0,0,0,0,0,0
626,559,0,0,0,0,0,0,0,0
627,311,0,0,0,0,0,0,0,0
628,32,0,0,0,0,0,0,0,0
629,296,0,0,0,0,0,0,0,0
630,419,0,0,0,0,0,0,0,0
631,83,0,0,0,0,0,0,0,0
632,594,0,0,0,0,0,0,0,0
633,501,0,0,0,0,0,0,0,0
634,411,0,0,0,0,0,0,0,0
635,824,0,0,0,0,0,0,0,0
636,585,0,0,0,0,0,0,0,0
637,848,0,0,0,0,0,0,0,0
638,299,0,0,0,0,0,0,0,0
639,107,0,0,0,0,0,0,0,0
640,119,0,0,0,0,0,0,0,0
641,335,0,0,0,0,0,0,0,0
642,557,0,0,0,0,0,0,0,0
643,113,0,0,0,0,0,0,0,0
644,281,0,0,0,0,0,0,0,0
645,836,0,0,0,0,0,0,0,0
646,426,0,0,0,0,0,0,0,0
647,42,0,0,0,0,0,0,0,0
648,567,0,0,0,0,0,0,0,0
649,589,0,0,0,0,0,0,0,0
650,187,0,0,0,0,0,0,0,0
651,615,0,0,0,0,0,0,0,0
652,556,0,0,0,0,0,0,0,0
653,3,0,0,0,0,0,0,0,0
654,667,0,0,0,0,0,0,0,0
655,234,0,0,0,0,0,0,0,0
656,96,0,0,0,0,0,0,0,0
657,691,0,0,0,0,0,0,0,0
658,269,0,0,0,0,0,0,0,0
659,566,0,0,0,0,0,0,0,0
660,985,0,0,0,0,0,0,0,0
661,437,0,0,0,0,0,0,0,0
662,200,0,0,0,0,0,0,0,0
663,291,0,0,0,0,0,0,0,0
664,612,0,0,0,0,0,0,0,0
665,448,0,0,0,0,0,0,0,0
666,439,0,0,0,0,0,0,0,0
667,573,0,0,0,0,0,0,0,0
668,7,0,0,0,0,0,0,0,0
669,725,0,0,0,0,0,0,0,0
670,50,0,0,0,0,0,0,0,0
671,423,0,0,0,0,0,0,0,0
672,140,0,0,0,0,0,0,0,0
673,135,0,0,0,0,0,0,0,0
674,786,0,0,0,0,0,0,0,0
675,601,0,0,0,0,0,0,0,0
676,493,0,0,0,0,0,0,0,0
677,553,0,0,0,0,0,0,0,0
678,27,0,0,0,0,0,0,0,0
679,257,0,0,0,0,0,0,0,0
680,225,0,0,0,0,0,0,0,0
681,788,0,0,0,0,0,0,0,0
682,37,0,0,0,0,0,0,0,0
683,170,0,0,0,0,0,0,0,0
684,528,0,0,0,0,0,0,0,0
685,600,0,0,0,0,0,0,0,0
686,655,0,0,0,0,0,0,0,0
687,74,0,0,0,0,0,0,0,0
688,505,0,0,0,0,0,0,0,0
689,377,0,0,0,0,0,0,0,0
